"PROBE_ID"	"Symbol"
"137"	"ILMN_1743966"	"BCL9L"
"138"	"ILMN_1775192"	"BCLAF1"
"139"	"ILMN_2357272"	"BCLAF1"
"140"	"ILMN_1751276"	"BDNF"
"141"	"ILMN_2375032"	"BEND3"
"142"	"ILMN_1706969"	"BEND6"
"143"	"ILMN_2234697"	"BEX1"
"144"	"ILMN_1805826"	"BIVM"
"145"	"ILMN_2214098"	"BIVM"
"146"	"ILMN_3307916"	"BMPER"
"147"	"ILMN_1656373"	"BNC2"
"148"	"ILMN_2045419"	"BNIP3L"
"149"	"ILMN_1718961"	"BNIP3L"
"150"	"ILMN_1657746"	"BPHL"
"151"	"ILMN_1804498"	"BRAT1"
"152"	"ILMN_1723480"	"BST2"
"153"	"ILMN_3238274"	"BTBD2"
"154"	"ILMN_1759359"	"BTF3L4"
"155"	"ILMN_2072140"	"BTF3L4"
"156"	"ILMN_1775743"	"BTG1"
"157"	"ILMN_1707339"	"BTG3"
"158"	"ILMN_2159300"	"C10orf114"
"159"	"ILMN_1662470"	"C10orf35"
"160"	"ILMN_1757847"	"C11orf68"
"161"	"ILMN_1804611"	"C12orf23"
"162"	"ILMN_1737818"	"C12orf43"
"163"	"ILMN_1713744"	"C14orf132"
"164"	"ILMN_1686082"	"C14orf79"
"165"	"ILMN_1747217"	"C15orf41"
"166"	"ILMN_1805410"	"C15orf48"
"167"	"ILMN_1775330"	"C15orf52"
"168"	"ILMN_1711823"	"C17orf70"
"169"	"ILMN_3247139"	"C17orf96"
"170"	"ILMN_1713803"	"C17orf97"
"171"	"ILMN_1707137"	"C17orf97"
"172"	"ILMN_1719097"	"C18orf8"
"173"	"ILMN_1750400"	"C19orf66"
"174"	"ILMN_1754894"	"C1orf162"
"175"	"ILMN_1657683"	"C1orf198"
"176"	"ILMN_3307877"	"C21orf58"
"177"	"ILMN_1682572"	"C2CD5"
"178"	"ILMN_1694470"	"C3orf72"
"179"	"ILMN_1677292"	"C5orf30"
"180"	"ILMN_1740903"	"C7orf49"
"181"	"ILMN_1718336"	"C7orf50"
"182"	"ILMN_1656369"	"C8orf4"
"183"	"ILMN_1764320"	"C8orf58"
"184"	"ILMN_1674629"	"C9orf3"
"185"	"ILMN_1665547"	"CADPS"
"186"	"ILMN_1748840"	"CALB2"
"187"	"ILMN_1717990"	"CALD1"
"188"	"ILMN_2324002"	"CALD1"
"189"	"ILMN_1766200"	"CALHM2"
"190"	"ILMN_1687858"	"CALM2"
"191"	"ILMN_1666385"	"CALM3"
"192"	"ILMN_1809695"	"CAMK2G"
"193"	"ILMN_1794863"	"CAMK2N1"
"194"	"ILMN_1691237"	"CAP2"
