"PROBE_ID"	"Symbol"
"137"	"ILMN_1752953"	"BCL2L12"
"138"	"ILMN_2396982"	"BCL2L12"
"139"	"ILMN_1710514"	"BCL3"
"140"	"ILMN_1737314"	"BCL6"
"141"	"ILMN_1743966"	"BCL9L"
"142"	"ILMN_1775192"	"BCLAF1"
"143"	"ILMN_1684086"	"BDKRB2"
"144"	"ILMN_1751276"	"BDNF"
"145"	"ILMN_1761910"	"BDNF"
"146"	"ILMN_2375032"	"BEND3"
"147"	"ILMN_1706969"	"BEND6"
"148"	"ILMN_2234697"	"BEX1"
"149"	"ILMN_2181892"	"BEX2"
"150"	"ILMN_2351638"	"BEX4"
"151"	"ILMN_1806473"	"BEX5"
"152"	"ILMN_1801605"	"BIRC6"
"153"	"ILMN_1805826"	"BIVM"
"154"	"ILMN_2214098"	"BIVM"
"155"	"ILMN_1740900"	"BMP4"
"156"	"ILMN_3307916"	"BMPER"
"157"	"ILMN_1656373"	"BNC2"
"158"	"ILMN_2045419"	"BNIP3L"
"159"	"ILMN_2352921"	"BPGM"
"160"	"ILMN_1696420"	"BRD7"
"161"	"ILMN_2147920"	"BRD7P3"
"162"	"ILMN_1719165"	"BRMS1"
"163"	"ILMN_2185845"	"BRSK1"
"164"	"ILMN_1723480"	"BST2"
"165"	"ILMN_1705066"	"BTBD11"
"166"	"ILMN_3238274"	"BTBD2"
"167"	"ILMN_1707339"	"BTG3"
"168"	"ILMN_2154836"	"BTG3"
"169"	"ILMN_1662470"	"C10orf35"
"170"	"ILMN_1757847"	"C11orf68"
"171"	"ILMN_1798270"	"C11orf75"
"172"	"ILMN_1777765"	"C12orf10"
"173"	"ILMN_1716382"	"C12orf75"
"174"	"ILMN_1713744"	"C14orf132"
"175"	"ILMN_1807031"	"C14orf28"
"176"	"ILMN_1686082"	"C14orf79"
"177"	"ILMN_2189406"	"C15orf38"
"178"	"ILMN_1747217"	"C15orf41"
"179"	"ILMN_1805410"	"C15orf48"
"180"	"ILMN_1775330"	"C15orf52"
"181"	"ILMN_1717324"	"C16orf52"
"182"	"ILMN_1690911"	"C16orf87"
"183"	"ILMN_1711823"	"C17orf70"
"184"	"ILMN_3247139"	"C17orf96"
"185"	"ILMN_1707137"	"C17orf97"
"186"	"ILMN_1719097"	"C18orf8"
"187"	"ILMN_1750400"	"C19orf66"
"188"	"ILMN_2077886"	"C1orf109"
"189"	"ILMN_1674817"	"C1orf115"
"190"	"ILMN_1754894"	"C1orf162"
"191"	"ILMN_1657683"	"C1orf198"
"192"	"ILMN_1793543"	"C1orf51"
"193"	"ILMN_1729288"	"C1QTNF6"
"194"	"ILMN_2049727"	"C20orf111"
"195"	"ILMN_1793002"	"C20orf196"
"196"	"ILMN_2283388"	"C20orf24"
"197"	"ILMN_1682572"	"C2CD5"
"198"	"ILMN_1701131"	"C2orf49"
"199"	"ILMN_1787526"	"C2orf88"
"200"	"ILMN_2224486"	"C3orf14"
"201"	"ILMN_1694798"	"C5orf28"
"202"	"ILMN_1677292"	"C5orf30"
"203"	"ILMN_2232494"	"C5orf42"
"204"	"ILMN_1656369"	"C8orf4"
"205"	"ILMN_1742074"	"C8orf76"
"206"	"ILMN_1674629"	"C9orf3"
"207"	"ILMN_1662795"	"CA2"
"208"	"ILMN_2199439"	"CA2"
"209"	"ILMN_1666775"	"CACNA1C"
"210"	"ILMN_1726574"	"CACYBP"
"211"	"ILMN_1812096"	"CADM4"
"212"	"ILMN_1665547"	"CADPS"
"213"	"ILMN_1748840"	"CALB2"
"214"	"ILMN_1717990"	"CALD1"
"215"	"ILMN_2324002"	"CALD1"
"216"	"ILMN_1730487"	"CALD1"
"217"	"ILMN_1766200"	"CALHM2"
"218"	"ILMN_1666385"	"CALM3"
"219"	"ILMN_2073592"	"CAND2"
"220"	"ILMN_1691237"	"CAP2"
"221"	"ILMN_1716057"	"CAPN2"
"222"	"ILMN_1798980"	"CAPZB"
"223"	"ILMN_1712532"	"CARD9"
"224"	"ILMN_1680134"	"CARM1"
"225"	"ILMN_2326509"	"CASP1"
"226"	"ILMN_2326512"	"CASP1"
"227"	"ILMN_2388155"	"CASP3"
"228"	"ILMN_1678454"	"CASP4"
"229"	"ILMN_1655191"	"CASZ1"
"230"	"ILMN_1651705"	"CAT"
"231"	"ILMN_2151739"	"CAT"
"232"	"ILMN_2149226"	"CAV1"
"233"	"ILMN_1687583"	"CAV1"
"234"	"ILMN_2360730"	"CAV2"
"235"	"ILMN_1658835"	"CAV2"
"236"	"ILMN_1685580"	"CBLB"
"237"	"ILMN_2053829"	"CBLN3"
"238"	"ILMN_1813400"	"CBR4"
"239"	"ILMN_1801766"	"CCDC109B"
"240"	"ILMN_1751264"	"CCDC126"
"241"	"ILMN_1677239"	"CCDC14"
"242"	"ILMN_1806456"	"CCDC176"
"243"	"ILMN_2099586"	"CCDC28B"
"244"	"ILMN_1778478"	"CCDC28B"
"245"	"ILMN_1715662"	"CCDC80"
"246"	"ILMN_1669982"	"CCDC85A"
"247"	"ILMN_1720048"	"CCL2"
"248"	"ILMN_2105573"	"CCL3L3"
"249"	"ILMN_2098126"	"CCL5"
"250"	"ILMN_2157099"	"CCNA1"
"251"	"ILMN_2409395"	"CCNC"
"252"	"ILMN_1688480"	"CCND1"
"253"	"ILMN_2067656"	"CCND2"
"254"	"ILMN_1667081"	"CCND2"
"255"	"ILMN_2374425"	"CCNE1"
"256"	"ILMN_2384785"	"CCNE1"
"257"	"ILMN_2261784"	"CCNY"
"258"	"ILMN_1773992"	"CCRL1"
"259"	"ILMN_1689378"	"CCRN4L"
"260"	"ILMN_1717868"	"CCT8"
"261"	"ILMN_1726589"	"CD248"
"262"	"ILMN_1803429"	"CD44"
"263"	"ILMN_2348788"	"CD44"
"264"	"ILMN_1800540"	"CD55"
"265"	"ILMN_1724789"	"CD59"
"266"	"ILMN_2328666"	"CD83"
"267"	"ILMN_1780582"	"CD83"
"268"	"ILMN_2256765"	"CDC16"
"269"	"ILMN_1711005"	"CDC25A"
"270"	"ILMN_1764927"	"CDC42EP1"
"271"	"ILMN_1652777"	"CDC42EP2"
"272"	"ILMN_1736327"	"CDC42EP3"
"273"	"ILMN_1670238"	"CDC45"
"274"	"ILMN_1672611"	"CDH11"
"275"	"ILMN_1779228"	"CDH2"
"276"	"ILMN_1766675"	"CDH6"
"277"	"ILMN_2171295"	"CDK14"
"278"	"ILMN_1730928"	"CDK5R1"
"279"	"ILMN_1802615"	"CDK6"
"280"	"ILMN_1784602"	"CDKN1A"
"281"	"ILMN_2234187"	"CDO1"
"282"	"ILMN_1715715"	"CEBPA"
"283"	"ILMN_1782050"	"CEBPD"
"284"	"ILMN_1767662"	"CERS6"
"285"	"ILMN_2387090"	"CGGBP1"
"286"	"ILMN_1730229"	"CGNL1"
"287"	"ILMN_1681008"	"CGRRF1"
"288"	"ILMN_1741021"	"CH25H"
"289"	"ILMN_2148150"	"CHAC2"
"290"	"ILMN_1658411"	"CHD4"
"291"	"ILMN_1658504"	"CHKA"
"292"	"ILMN_3251545"	"CHMP5"
"293"	"ILMN_1678493"	"CHN1"
"294"	"ILMN_1740407"	"CHSY3"
"295"	"ILMN_1674661"	"CIRBP"
"296"	"ILMN_1663092"	"CITED2"
"297"	"ILMN_1671478"	"CKB"
"298"	"ILMN_1725338"	"CLDN23"
"299"	"ILMN_1691339"	"CLEC1A"
"300"	"ILMN_1796423"	"CLIC3"
"301"	"ILMN_1699665"	"CLIC6"
"302"	"ILMN_2404085"	"CLIP1"
"303"	"ILMN_1656248"	"CLMP"
"304"	"ILMN_1669281"	"CLN3"
"305"	"ILMN_1659976"	"CLP1"
"306"	"ILMN_1709634"	"CMBL"
"307"	"ILMN_1710124"	"CMTM8"
"308"	"ILMN_1653134"	"CNEP1R1"
"309"	"ILMN_1770290"	"CNN2"
"310"	"ILMN_1708486"	"CNN2"
"311"	"ILMN_1782439"	"CNN3"
"312"	"ILMN_2252408"	"CNPY4"
"313"	"ILMN_3232894"	"CNRIP1"
"314"	"ILMN_2182148"	"CNRIP1"
"315"	"ILMN_3187324"	"CNRIP1"
"316"	"ILMN_1681741"	"COA6"
"317"	"ILMN_2392803"	"COL11A1"
"318"	"ILMN_1789507"	"COL11A1"
"319"	"ILMN_1733756"	"COL12A1"
"320"	"ILMN_1684554"	"COL16A1"
"321"	"ILMN_1773079"	"COL3A1"
"322"	"ILMN_1653028"	"COL4A1"
"323"	"ILMN_1729117"	"COL5A2"
"324"	"ILMN_2307861"	"COL6A3"
"325"	"ILMN_1706643"	"COL6A3"
"326"	"ILMN_1751161"	"COL7A1"
"327"	"ILMN_1685433"	"COL8A1"
"328"	"ILMN_2402392"	"COL8A1"
