"PROBE_ID"	"Symbol"
"137"	"ILMN_1676361"	"ARHGAP22"
"138"	"ILMN_1801833"	"ARHGAP24"
"139"	"ILMN_2290204"	"ARHGAP28"
"140"	"ILMN_1796772"	"ARHGAP28"
"141"	"ILMN_3245564"	"ARHGAP44"
"142"	"ILMN_2065022"	"ARHGAP44"
"143"	"ILMN_1678143"	"ARHGDIB"
"144"	"ILMN_1754562"	"ARHGEF17"
"145"	"ILMN_1703477"	"ARHGEF2"
"146"	"ILMN_1781010"	"ARHGEF3"
"147"	"ILMN_1708093"	"ARHGEF5"
"148"	"ILMN_1803423"	"ARHGEF6"
"149"	"ILMN_1721626"	"ARID5B"
"150"	"ILMN_1694219"	"ARIH1"
"151"	"ILMN_3231952"	"ARL17B"
"152"	"ILMN_2120022"	"ARL5B"
"153"	"ILMN_1680465"	"ARL5B"
"154"	"ILMN_2307266"	"ARL6"
"155"	"ILMN_1771822"	"ARL6"
"156"	"ILMN_1708416"	"ARL6IP1"
"157"	"ILMN_1769810"	"ARL6IP5"
"158"	"ILMN_1797964"	"ARL6IP6"
"159"	"ILMN_1776395"	"ARMC4"
"160"	"ILMN_1797298"	"ARMC7"
"161"	"ILMN_1788192"	"ARMCX1"
"162"	"ILMN_2180677"	"ARMCX1"
"163"	"ILMN_2334760"	"ARMCX3"
"164"	"ILMN_2334765"	"ARMCX3"
"165"	"ILMN_1718046"	"ARNT2"
"166"	"ILMN_2184064"	"ARRDC4"
"167"	"ILMN_1660544"	"ARRDC4"
"168"	"ILMN_1679318"	"ARSJ"
"169"	"ILMN_1757237"	"ASAP2"
"170"	"ILMN_3270972"	"ASAP2"
"171"	"ILMN_3194508"	"ASAP2"
"172"	"ILMN_1685441"	"ASAP3"
"173"	"ILMN_2358784"	"ASB3"
"174"	"ILMN_1699606"	"ASB3"
"175"	"ILMN_2126055"	"ASB5"
"176"	"ILMN_1680419"	"ASB7"
"177"	"ILMN_1714737"	"ASF1A"
"178"	"ILMN_1769013"	"ASGR1"
"179"	"ILMN_2398107"	"ASNS"
"180"	"ILMN_2221673"	"ASNSD1"
"181"	"ILMN_2167426"	"ASPHD2"
"182"	"ILMN_1744118"	"ASTN2"
"183"	"ILMN_1654497"	"ATAD1"
"184"	"ILMN_2374865"	"ATF3"
"185"	"ILMN_1804445"	"ATF7IP2"
"186"	"ILMN_2365881"	"ATG16L1"
"187"	"ILMN_2411915"	"ATG4B"
"188"	"ILMN_1716384"	"ATL2"
"189"	"ILMN_1654065"	"ATOH8"
"190"	"ILMN_1654322"	"ATP1B3"
"191"	"ILMN_1687375"	"ATP2A2"
"192"	"ILMN_2401933"	"ATP2B1"
"193"	"ILMN_1813399"	"ATP2B1"
"194"	"ILMN_2367753"	"ATP2B4"
"195"	"ILMN_1680579"	"ATP2B4"
"196"	"ILMN_1664772"	"ATP2B4"
"197"	"ILMN_1696568"	"ATP2C1"
"198"	"ILMN_1663257"	"ATP6V1C1"
"199"	"ILMN_2339779"	"ATP6V1E1"
"200"	"ILMN_1798485"	"ATP6V1E1"
"201"	"ILMN_2153332"	"ATXN1"
"202"	"ILMN_1800951"	"ATXN1"
"203"	"ILMN_3233871"	"ATXN1L"
"204"	"ILMN_1671731"	"AVPI1"
"205"	"ILMN_1725427"	"B2M"
"206"	"ILMN_2325347"	"B3GALNT1"
"207"	"ILMN_1726840"	"B3GALNT1"
"208"	"ILMN_1787595"	"B3GALNT1"
"209"	"ILMN_1739749"	"B3GALT6"
"210"	"ILMN_1711102"	"B3GNT2"
"211"	"ILMN_1753755"	"B4GALT2"
"212"	"ILMN_1692267"	"B4GALT3"
"213"	"ILMN_1685824"	"B4GALT5"
"214"	"ILMN_1663541"	"B4GALT7"
"215"	"ILMN_1687751"	"BAALC"
"216"	"ILMN_3244893"	"BAG2"
"217"	"ILMN_1659766"	"BAG3"
"218"	"ILMN_1705922"	"BAIAP2"
"219"	"ILMN_1691410"	"BAMBI"
"220"	"ILMN_1690241"	"BATF2"
"221"	"ILMN_1763207"	"BATF3"
"222"	"ILMN_2230035"	"BBS2"
"223"	"ILMN_1763638"	"BCAR3"
"224"	"ILMN_1766169"	"BCAT1"
"225"	"ILMN_1786433"	"BCCIP"
"226"	"ILMN_1752953"	"BCL2L12"
"227"	"ILMN_2396982"	"BCL2L12"
"228"	"ILMN_2181445"	"BCL2L13"
"229"	"ILMN_1710514"	"BCL3"
"230"	"ILMN_1737314"	"BCL6"
"231"	"ILMN_1754199"	"BCL7B"
"232"	"ILMN_1743966"	"BCL9L"
"233"	"ILMN_1775192"	"BCLAF1"
"234"	"ILMN_1684086"	"BDKRB2"
"235"	"ILMN_1751276"	"BDNF"
"236"	"ILMN_1761910"	"BDNF"
"237"	"ILMN_2375032"	"BEND3"
"238"	"ILMN_1706969"	"BEND6"
"239"	"ILMN_2234697"	"BEX1"
"240"	"ILMN_2181892"	"BEX2"
"241"	"ILMN_2351638"	"BEX4"
"242"	"ILMN_1806473"	"BEX5"
"243"	"ILMN_1801605"	"BIRC6"
"244"	"ILMN_1805826"	"BIVM"
"245"	"ILMN_2214098"	"BIVM"
"246"	"ILMN_1685095"	"BLOC1S4"
"247"	"ILMN_1740900"	"BMP4"
"248"	"ILMN_3307916"	"BMPER"
"249"	"ILMN_1656373"	"BNC2"
"250"	"ILMN_2318733"	"BNIP1"
"251"	"ILMN_1734410"	"BNIP1"
"252"	"ILMN_2045419"	"BNIP3L"
"253"	"ILMN_1761486"	"BORA"
"254"	"ILMN_2352921"	"BPGM"
"255"	"ILMN_1696420"	"BRD7"
"256"	"ILMN_2147920"	"BRD7P3"
"257"	"ILMN_1665554"	"BRF2"
"258"	"ILMN_1719165"	"BRMS1"
"259"	"ILMN_1669308"	"BRPF1"
"260"	"ILMN_2365549"	"BRPF1"
"261"	"ILMN_1658800"	"BRPF3"
"262"	"ILMN_2185845"	"BRSK1"
"263"	"ILMN_1723480"	"BST2"
"264"	"ILMN_1705066"	"BTBD11"
"265"	"ILMN_3238274"	"BTBD2"
"266"	"ILMN_2072140"	"BTF3L4"
"267"	"ILMN_1759359"	"BTF3L4"
"268"	"ILMN_1775743"	"BTG1"
"269"	"ILMN_1707339"	"BTG3"
"270"	"ILMN_2154836"	"BTG3"
"271"	"ILMN_2364852"	"BTN2A1"
"272"	"ILMN_1676528"	"BTN3A2"
"273"	"ILMN_2373831"	"BTN3A3"
"274"	"ILMN_2159300"	"C10orf114"
"275"	"ILMN_1791656"	"C10orf137"
"276"	"ILMN_2151056"	"C10orf32"
"277"	"ILMN_1772706"	"C10orf32"
"278"	"ILMN_1662470"	"C10orf35"
"279"	"ILMN_1775423"	"C10orf88"
"280"	"ILMN_1757847"	"C11orf68"
"281"	"ILMN_1683635"	"C11orf70"
"282"	"ILMN_2168520"	"C11orf70"
"283"	"ILMN_1798270"	"C11orf75"
"284"	"ILMN_1777765"	"C12orf10"
