"x"
"1"	264
"2"	151
"3"	485
"4"	83
"5"	265
"6"	107
"7"	342
"8"	369
"9"	241
"10"	396
"11"	289
"12"	399
"13"	178
"14"	296
"15"	244
"16"	267
"17"	188
"18"	162
"19"	434
"20"	291
"21"	333
"22"	11
"23"	66
"24"	90
"25"	73
"26"	301
"27"	2
"28"	63
"29"	113
"30"	134
"31"	27
"32"	65
"33"	115
"34"	142
"35"	120
"36"	125
"37"	118
"38"	20
"39"	93
"40"	6
"41"	145
"42"	7
"43"	452
"44"	61
"45"	21
"46"	42
"47"	85
"48"	222
"49"	334
"50"	128
"51"	159
"52"	306
"53"	347
"54"	431
"55"	198
"56"	253
"57"	433
"58"	368
"59"	425
"60"	176
"61"	312
"62"	36
"63"	49
"64"	46
"65"	26
"66"	25
"67"	5
"68"	92
"69"	19
"70"	44
"71"	96
"72"	138
"73"	104
"74"	174
"75"	41
"76"	328
"77"	362
"78"	33
"79"	144
"80"	30
"81"	45
"82"	119
"83"	304
"84"	340
"85"	229
"86"	57
"87"	210
"88"	87
"89"	10
"90"	22
"91"	220
"92"	15
"93"	28
"94"	47
"95"	166
"96"	50
"97"	88
"98"	147
"99"	171
"100"	4
"101"	79
"102"	70
"103"	1
"104"	24
"105"	32
"106"	17
"107"	71
"108"	9
"109"	211
"110"	116
"111"	69
"112"	140
"113"	12
"114"	3
"115"	84
"116"	37
"117"	100
"118"	13
"119"	18
"120"	55
"121"	58
"122"	94
"123"	38
"124"	51
"125"	29
"126"	68
"127"	23
"128"	74
"129"	31
"130"	75
"131"	67
"132"	54
"133"	8
"134"	35
"135"	40
"136"	34
"137"	64
"138"	39
"139"	43
"140"	256
"141"	114
"142"	101
"143"	78
"144"	111
"145"	417
"146"	189
"147"	209
"148"	124
"149"	56
"150"	165
"151"	16
"152"	194
"153"	406
"154"	418
"155"	212
"156"	285
"157"	365
"158"	97
"159"	158
"160"	339
"161"	346
"162"	187
"163"	53
"164"	133
"165"	48
"166"	175
"167"	185
"168"	271
"169"	143
"170"	76
"171"	157
"172"	14
"173"	99
"174"	302
"175"	177
"176"	286
"177"	122
"178"	373
"179"	397
"180"	326
"181"	493
"182"	424
"183"	492
"184"	196
"185"	89
"186"	257
"187"	276
"188"	110
"189"	192
"190"	91
"191"	179
"192"	60
"193"	135
"194"	273
"195"	62
"196"	258
"197"	80
"198"	148
"199"	208
"200"	386
"201"	130
"202"	247
"203"	180
"204"	348
"205"	199
"206"	86
"207"	123
"208"	127
"209"	153
"210"	59
"211"	109
"212"	388
"213"	52
"214"	295
"215"	82
"216"	294
"217"	374
"218"	216
"219"	213
"220"	324
"221"	233
"222"	169
"223"	186
"224"	146
"225"	150
"226"	200
"227"	105
"228"	181
"229"	272
"230"	316
"231"	357
"232"	310
"233"	230
"234"	390
"235"	239
"236"	283
"237"	414
"238"	183
"239"	317
"240"	297
"241"	394
"242"	432
"243"	277
"244"	217
"245"	308
"246"	149
"247"	240
"248"	454
"249"	108
"250"	331
"251"	173
"252"	136
"253"	202
"254"	172
"255"	227
"256"	228
"257"	311
"258"	488
"259"	207
"260"	343
"261"	103
"262"	411
"263"	398
"264"	420
"265"	436
"266"	322
"267"	392
"268"	293
"269"	341
"270"	329
"271"	190
"272"	246
"273"	441
"274"	164
"275"	184
"276"	261
"277"	421
"278"	477
"279"	206
"280"	460
"281"	427
"282"	182
"283"	218
"284"	370
"285"	279
"286"	478
"287"	354
"288"	350
"289"	384
"290"	378
"291"	363
"292"	447
"293"	215
"294"	284
"295"	282
"296"	467
"297"	320
"298"	305
"299"	490
"300"	117
"301"	112
"302"	214
"303"	126
"304"	234
"305"	203
"306"	195
"307"	500
"308"	359
"309"	391
"310"	415
"311"	300
"312"	499
"313"	501
"314"	121
"315"	224
"316"	238
"317"	106
"318"	137
"319"	81
"320"	129
"321"	131
"322"	252
"323"	226
"324"	458
"325"	426
"326"	139
"327"	221
"328"	459
"329"	245
"330"	72
"331"	401
"332"	480
"333"	481
"334"	132
"335"	330
"336"	156
"337"	168
"338"	163
"339"	223
"340"	377
"341"	270
"342"	254
"343"	237
"344"	455
"345"	281
"346"	299
"347"	349
"348"	204
