"PROBE_ID"	"Symbol"
"137"	"ILMN_3247139"	"C17orf96"
"138"	"ILMN_1713803"	"C17orf97"
"139"	"ILMN_1707137"	"C17orf97"
"140"	"ILMN_1719097"	"C18orf8"
"141"	"ILMN_1750400"	"C19orf66"
"142"	"ILMN_1754894"	"C1orf162"
"143"	"ILMN_1657683"	"C1orf198"
"144"	"ILMN_3307877"	"C21orf58"
"145"	"ILMN_1682572"	"C2CD5"
"146"	"ILMN_1694470"	"C3orf72"
"147"	"ILMN_1677292"	"C5orf30"
"148"	"ILMN_1740903"	"C7orf49"
"149"	"ILMN_1718336"	"C7orf50"
"150"	"ILMN_1656369"	"C8orf4"
"151"	"ILMN_1764320"	"C8orf58"
"152"	"ILMN_1674629"	"C9orf3"
"153"	"ILMN_1665547"	"CADPS"
"154"	"ILMN_1748840"	"CALB2"
"155"	"ILMN_1717990"	"CALD1"
"156"	"ILMN_2324002"	"CALD1"
"157"	"ILMN_1766200"	"CALHM2"
"158"	"ILMN_1687858"	"CALM2"
"159"	"ILMN_1666385"	"CALM3"
"160"	"ILMN_1809695"	"CAMK2G"
"161"	"ILMN_1794863"	"CAMK2N1"
"162"	"ILMN_1691237"	"CAP2"
"163"	"ILMN_1716057"	"CAPN2"
"164"	"ILMN_1782897"	"CAPRIN1"
"165"	"ILMN_1712532"	"CARD9"
"166"	"ILMN_1809477"	"CARHSP1"
"167"	"ILMN_1680134"	"CARM1"
"168"	"ILMN_2326509"	"CASP1"
"169"	"ILMN_2326512"	"CASP1"
"170"	"ILMN_2373763"	"CASP7"
"171"	"ILMN_2151739"	"CAT"
"172"	"ILMN_2149226"	"CAV1"
"173"	"ILMN_1687583"	"CAV1"
"174"	"ILMN_1658835"	"CAV2"
"175"	"ILMN_1685580"	"CBLB"
"176"	"ILMN_1813400"	"CBR4"
"177"	"ILMN_1677239"	"CCDC14"
"178"	"ILMN_1803338"	"CCDC80"
"179"	"ILMN_1715662"	"CCDC80"
"180"	"ILMN_1669982"	"CCDC85A"
"181"	"ILMN_1720048"	"CCL2"
"182"	"ILMN_2374425"	"CCNE1"
"183"	"ILMN_2384785"	"CCNE1"
"184"	"ILMN_2261784"	"CCNY"
"185"	"ILMN_1773992"	"CCRL1"
"186"	"ILMN_1726589"	"CD248"
"187"	"ILMN_1803429"	"CD44"
"188"	"ILMN_2348788"	"CD44"
"189"	"ILMN_1724789"	"CD59"
"190"	"ILMN_2256765"	"CDC16"
"191"	"ILMN_2339796"	"CDC16"
"192"	"ILMN_2338323"	"CDC25B"
"193"	"ILMN_1764927"	"CDC42EP1"
"194"	"ILMN_1652777"	"CDC42EP2"
"195"	"ILMN_1736327"	"CDC42EP3"
"196"	"ILMN_1737184"	"CDCA7"
"197"	"ILMN_1672611"	"CDH11"
"198"	"ILMN_1779228"	"CDH2"
"199"	"ILMN_1766675"	"CDH6"
"200"	"ILMN_1730928"	"CDK5R1"
"201"	"ILMN_3307950"	"CDK5RAP3"
"202"	"ILMN_1802615"	"CDK6"
"203"	"ILMN_1784602"	"CDKN1A"
"204"	"ILMN_2234187"	"CDO1"
"205"	"ILMN_1693014"	"CEBPB"
"206"	"ILMN_1782050"	"CEBPD"
"207"	"ILMN_1730229"	"CGNL1"
"208"	"ILMN_1741021"	"CH25H"
"209"	"ILMN_1658411"	"CHD4"
"210"	"ILMN_1762972"	"CHD9"
"211"	"ILMN_1678493"	"CHN1"
"212"	"ILMN_1674661"	"CIRBP"
"213"	"ILMN_1663092"	"CITED2"
"214"	"ILMN_1754103"	"CLDN11"
"215"	"ILMN_1725338"	"CLDN23"
"216"	"ILMN_2142185"	"CLEC14A"
"217"	"ILMN_1796423"	"CLIC3"
"218"	"ILMN_2404085"	"CLIP1"
"219"	"ILMN_1789733"	"CLIP3"
"220"	"ILMN_1689400"	"CLK1"
"221"	"ILMN_1656248"	"CLMP"
"222"	"ILMN_1709634"	"CMBL"
"223"	"ILMN_1710124"	"CMTM8"
"224"	"ILMN_1770290"	"CNN2"
"225"	"ILMN_1708486"	"CNN2"
"226"	"ILMN_1782439"	"CNN3"
"227"	"ILMN_2252408"	"CNPY4"
"228"	"ILMN_3232894"	"CNRIP1"
"229"	"ILMN_2182148"	"CNRIP1"
"230"	"ILMN_1692398"	"CNTNAP1"
"231"	"ILMN_1789507"	"COL11A1"
"232"	"ILMN_2392803"	"COL11A1"
"233"	"ILMN_1733756"	"COL12A1"
"234"	"ILMN_1684554"	"COL16A1"
"235"	"ILMN_1706505"	"COL5A1"
"236"	"ILMN_1729117"	"COL5A2"
"237"	"ILMN_1706643"	"COL6A3"
"238"	"ILMN_2307861"	"COL6A3"
"239"	"ILMN_1751161"	"COL7A1"
"240"	"ILMN_1685433"	"COL8A1"
"241"	"ILMN_2402392"	"COL8A1"
"242"	"ILMN_1677636"	"COMP"
"243"	"ILMN_1745954"	"CORO1C"
"244"	"ILMN_1654545"	"CPSF1"
"245"	"ILMN_1690170"	"CRABP2"
"246"	"ILMN_1841334"	"CREB1"
"247"	"ILMN_1751097"	"CREB3L2"
"248"	"ILMN_1694432"	"CRIP2"
"249"	"ILMN_2140700"	"CRIPAK"
"250"	"ILMN_1729216"	"CRYAB"
"251"	"ILMN_1762115"	"CRYZL1"
"252"	"ILMN_2119692"	"CSAD"
"253"	"ILMN_1806787"	"CSDC2"
"254"	"ILMN_1775432"	"CSMD2"
"255"	"ILMN_1706521"	"CSNK1G2"
"256"	"ILMN_1666894"	"CSPG4"
"257"	"ILMN_1811921"	"CSRP1"
"258"	"ILMN_3250209"	"CTBP2"
"259"	"ILMN_1728163"	"CTDSP1"
"260"	"ILMN_1692962"	"CTDSP2"
"261"	"ILMN_2392189"	"CTDSPL"
"262"	"ILMN_2117508"	"CTHRC1"
"263"	"ILMN_2359742"	"CTSB"
"264"	"ILMN_1696360"	"CTSB"
"265"	"ILMN_1759766"	"CTXN1"
"266"	"ILMN_1676665"	"CUEDC1"
"267"	"ILMN_2385161"	"CUL4B"
"268"	"ILMN_1803825"	"CXCL12"
"269"	"ILMN_1791447"	"CXCL12"
"270"	"ILMN_1728478"	"CXCL16"
"271"	"ILMN_1798360"	"CXCR7"
"272"	"ILMN_3307729"	"CXXC5"
"273"	"ILMN_1745256"	"CXXC5"
"274"	"ILMN_1693338"	"CYP1B1"
"275"	"ILMN_2160727"	"CYTH3"
"276"	"ILMN_2206272"	"D2HGDH"
"277"	"ILMN_1752668"	"DAAM2"
"278"	"ILMN_2128428"	"DAB2"
"279"	"ILMN_1764228"	"DAB2"
"280"	"ILMN_2328094"	"DACT1"
"281"	"ILMN_1801068"	"DACT1"
"282"	"ILMN_1733851"	"DACT3"
"283"	"ILMN_1676191"	"DARS2"
"284"	"ILMN_1769926"	"DBN1"
"285"	"ILMN_1698307"	"DBNL"
"286"	"ILMN_1670000"	"DCAF6"
"287"	"ILMN_1695604"	"DCBLD1"
"288"	"ILMN_2174127"	"DCBLD2"
"289"	"ILMN_1735499"	"DCBLD2"
"290"	"ILMN_2407434"	"DCLK2"
"291"	"ILMN_1719449"	"DCLK2"
"292"	"ILMN_1661599"	"DDIT4"
"293"	"ILMN_2410523"	"DDR2"
"294"	"ILMN_1747303"	"DDX39A"
"295"	"ILMN_1727001"	"DDX46"
"296"	"ILMN_1659029"	"DENND6B"
"297"	"ILMN_1698995"	"DES"
"298"	"ILMN_1752478"	"DHRS3"
"299"	"ILMN_3187771"	"DHRS4-AS1"
"300"	"ILMN_3261811"	"DHRS4-AS1"
"301"	"ILMN_1737650"	"DIO2"
"302"	"ILMN_1736704"	"DIXDC1"
"303"	"ILMN_2375830"	"DIXDC1"
"304"	"ILMN_2174189"	"DKK1"
"305"	"ILMN_1773337"	"DKK1"
"306"	"ILMN_1698020"	"DLC1"
"307"	"ILMN_1736096"	"DLL3"
"308"	"ILMN_2222317"	"DNAJB4"
"309"	"ILMN_1702301"	"DOCK10"
"310"	"ILMN_1765860"	"DOCK11"
"311"	"ILMN_2180239"	"DOPEY2"
"312"	"ILMN_1672503"	"DPYSL2"
"313"	"ILMN_1679262"	"DPYSL3"
"314"	"ILMN_2112301"	"DRAP1"
"315"	"ILMN_1706498"	"DSE"
"316"	"ILMN_2167915"	"DSEL"
"317"	"ILMN_1655614"	"DSP"
"318"	"ILMN_2287157"	"DST"
"319"	"ILMN_1794294"	"DSTN"
"320"	"ILMN_1740861"	"DTWD1"
"321"	"ILMN_2343310"	"DYNC2H1"
"322"	"ILMN_2374244"	"DYRK2"
"323"	"ILMN_1794588"	"DYRK2"
"324"	"ILMN_2051469"	"E2F1"
"325"	"ILMN_1778681"	"EBF1"
"326"	"ILMN_2329735"	"ECM1"
"327"	"ILMN_3251737"	"EEF1A1"
"328"	"ILMN_1789171"	"EEF2K"
"329"	"ILMN_1653203"	"EFEMP2"
"330"	"ILMN_1849494"	"EFR3B"
"331"	"ILMN_1798975"	"EGFR"
"332"	"ILMN_1762899"	"EGR1"
"333"	"ILMN_1803348"	"EHBP1"
"334"	"ILMN_1651832"	"EHD1"
"335"	"ILMN_1671473"	"EHD3"
