"PROBE_ID"	"SYMBOL"	"alt_Symbol"	"1.AVG_Signal"	"1.Detection.Pval"	"1.NARRAYS"	"1.ARRAY_STDEV"	"1.BEAD_STDERR"	"1.Avg_NBEADS"	"2.AVG_Signal"	"2.Detection.Pval"	"2.NARRAYS"	"2.ARRAY_STDEV"	"2.BEAD_STDERR"	"2.Avg_NBEADS"	"3.AVG_Signal"	"3.Detection.Pval"	"3.NARRAYS"	"3.ARRAY_STDEV"	"3.BEAD_STDERR"	"3.Avg_NBEADS"	"4.AVG_Signal"	"4.Detection.Pval"	"4.NARRAYS"	"4.ARRAY_STDEV"	"4.BEAD_STDERR"	"4.Avg_NBEADS"	"5.AVG_Signal"	"5.Detection.Pval"	"5.NARRAYS"	"5.ARRAY_STDEV"	"5.BEAD_STDERR"	"5.Avg_NBEADS"	"6.AVG_Signal"	"6.Detection.Pval"	"6.NARRAYS"	"6.ARRAY_STDEV"	"6.BEAD_STDERR"	"6.Avg_NBEADS"	"7.AVG_Signal"	"7.Detection.Pval"	"7.NARRAYS"	"7.ARRAY_STDEV"	"7.BEAD_STDERR"	"7.Avg_NBEADS"	"8.AVG_Signal"	"8.Detection.Pval"	"8.NARRAYS"	"8.ARRAY_STDEV"	"8.BEAD_STDERR"	"8.Avg_NBEADS"	"9.AVG_Signal"	"9.Detection.Pval"	"9.NARRAYS"	"9.ARRAY_STDEV"	"9.BEAD_STDERR"	"9.Avg_NBEADS"	"10.AVG_Signal"	"10.Detection.Pval"	"10.NARRAYS"	"10.ARRAY_STDEV"	"10.BEAD_STDERR"	"10.Avg_NBEADS"	"11.AVG_Signal"	"11.Detection.Pval"	"11.NARRAYS"	"11.ARRAY_STDEV"	"11.BEAD_STDERR"	"11.Avg_NBEADS"	"12.AVG_Signal"	"12.Detection.Pval"	"12.NARRAYS"	"12.ARRAY_STDEV"	"12.BEAD_STDERR"	"12.Avg_NBEADS"	"13.AVG_Signal"	"13.Detection.Pval"	"13.NARRAYS"	"13.ARRAY_STDEV"	"13.BEAD_STDERR"	"13.Avg_NBEADS"	"14.AVG_Signal"	"14.Detection.Pval"	"14.NARRAYS"	"14.ARRAY_STDEV"	"14.BEAD_STDERR"	"14.Avg_NBEADS"	"15.AVG_Signal"	"15.Detection.Pval"	"15.NARRAYS"	"15.ARRAY_STDEV"	"15.BEAD_STDERR"	"15.Avg_NBEADS"
"11"	"ILMN_1662426"	"AP2S1"	"AP2S1"	3729.003	0	1	NA	190.3893	27	3152.461	0	1	NA	151.292	28	3691.509	0	1	NA	175.5392	29	1697.569	0	1	NA	72.87791	29	2584.543	0	1	NA	127.9798	28	2881.701	0	1	NA	117.1995	15	2583.586	0	1	NA	75.36015	31	3434.95	0	1	NA	133.6919	23	1633.319	0	1	NA	76.09135	25	1770.217	0	1	NA	68.1951	24	3920.272	0	1	NA	215.7255	20	2935.554	0	1	NA	190.135	24	3480.696	0	1	NA	110.6487	27	1925.469	0	1	NA	121.8563	25	2159.027	0	1	NA	68.62516	27
"12"	"ILMN_1768867"	"AP3B1"	"AP3B1"	2039.534	0	1	NA	51.18169	29	1691.879	0	1	NA	62.36631	25	1973.658	0	1	NA	72.64267	23	815.6008	0	1	NA	27.12293	32	1282.084	0	1	NA	47.56703	30	2044.854	0	1	NA	48.26533	46	1723.168	0	1	NA	56.63305	29	2047.117	0	1	NA	82.72069	31	845.8563	0	1	NA	30.33786	30	1083.647	0	1	NA	45.38789	18	2095.077	0	1	NA	63.33932	20	1737.435	0	1	NA	75.33868	23	2083.038	0	1	NA	66.38219	25	905.8117	0	1	NA	24.52735	41	1176.066	0	1	NA	43.40328	29
"13"	"ILMN_1764945"	"AP3D1"	"AP3D1"	578.9182	0	1	NA	22.62874	22	431.3577	0	1	NA	16.15857	24	552.5673	0	1	NA	44.06088	20	273.5045	0	1	NA	15.6859	27	352.3109	0	1	NA	25.59753	21	436.8346	0	1	NA	29.45017	18	382.7817	0	1	NA	24.88309	25	406.7623	0	1	NA	22.12692	23	293.8901	0	1	NA	19.70214	22	267.2118	0	1	NA	19.88309	21	560.4643	0	1	NA	24.73844	21	362.4293	0	1	NA	20.3503	20	468.4643	0	1	NA	23.48536	24	259.0262	0	1	NA	21.07086	18	277.9002	0	1	NA	16.60563	27
"14"	"ILMN_2390114"	"AP3D1"	"AP3D1"	531.9861	0	1	NA	25.4992	26	432.8281	0	1	NA	22.9767	23	422.3364	0	1	NA	25.38492	20	269.5622	0	1	NA	17.69944	24	308.8128	0	1	NA	18.19598	25	455.2668	0	1	NA	14.84856	28	414.2693	0	1	NA	17.21315	20	423.8911	0	1	NA	26.82825	18	281.5506	0	1	NA	13.31735	27	275.4692	0	1	NA	19.27736	32	571.5989	0	1	NA	44.07875	15	426.9988	0	1	NA	30.92649	26	426.8793	0	1	NA	28.38835	28	266.6243	0	1	NA	13.9321	30	299.5614	0	1	NA	18.9761	29
"15"	"ILMN_1676946"	"AP3M2"	"AP3M2"	319.782	0	1	NA	13.854	24	191.6735	0	1	NA	8.956263	16	209.3211	0	1	NA	12.15403	24	177.0651	0	1	NA	9.355167	18	219.2277	0	1	NA	9.902884	26	258.371	0	1	NA	9.15624	19	187.1432	0	1	NA	11.16805	16	205.0678	0	1	NA	9.775143	24	168.5929	0	1	NA	13.18088	17	205.786	0	1	NA	10.90545	22	370.4465	0	1	NA	17.18948	27	186.9066	0	1	NA	8.719036	19	185.2179	0	1	NA	6.677461	16	176.1065	0	1	NA	14.70512	19	177.6895	0	1	NA	9.02788	27
"16"	"ILMN_2311761"	"AP3S1"	"AP3S1"	1204.877	0	1	NA	70.45393	19	1086.753	0	1	NA	78.22121	16	1258.726	0	1	NA	67.78645	21	646.9376	0	1	NA	47.76728	18	827.4518	0	1	NA	70.17993	15	1028.179	0	1	NA	34.08401	32	883.5743	0	1	NA	54.61968	16	920.1055	0	1	NA	54.41779	19	468.6444	0	1	NA	38.35171	16	595.309	0	1	NA	59.70019	14	1207.595	0	1	NA	63.18504	20	1089.697	0	1	NA	69.73579	21	1008.998	0	1	NA	55.72043	28	559.1698	0	1	NA	43.04392	20	680.7888	0	1	NA	33.80235	22
"17"	"ILMN_1754531"	"AP4E1"	"AP4E1"	364.6006	0	1	NA	18.19643	27	316.0148	0	1	NA	16.68912	29	305.3159	0	1	NA	25.28618	17	193.8539	0	1	NA	12.85987	32	250.3039	0	1	NA	9.598734	21	335.0368	0	1	NA	16.64803	13	314.8151	0	1	NA	15.12794	21	322.2276	0	1	NA	12.10838	29	159.3811	0	1	NA	7.807512	26	208.8317	0	1	NA	6.786692	25	340.4203	0	1	NA	16.987	24	344.2298	0	1	NA	13.72743	28	366.0597	0	1	NA	15.50931	30	169.1866	0	1	NA	9.500819	30	244.2751	0	1	NA	9.500742	29
"18"	"ILMN_1779512"	"AP4M1"	"AP4M1"	106.2045	0.1220779	1	NA	8.577644	28	80.27883	0.6415585	1	NA	5.342557	27	99.68484	0.1467533	1	NA	5.563406	31	89.73841	0.2194805	1	NA	6.166567	22	81.04231	0.4116883	1	NA	4.982146	23	97.81925	0.02597403	1	NA	5.123151	25	85.01017	0.1181818	1	NA	5.323778	22	86.81196	0.08051948	1	NA	6.308167	22	81.05798	0.05844156	1	NA	5.787638	19	69.49567	0.4285714	1	NA	4.636392	26	102.1135	0.005194805	1	NA	6.868653	23	79.51285	0.09740259	1	NA	5.810368	20	86.76751	0.02727273	1	NA	7.770039	18	71.092	0.1649351	1	NA	5.233882	24	68.51177	0.3883117	1	NA	3.473463	22
"20"	"ILMN_2330948"	"ARF1"	"ARF1"	578.5258	0	1	NA	46.07814	20	560.7038	0	1	NA	39.41072	23	574.4677	0	1	NA	32.95245	23	370.7617	0	1	NA	25.8264	17	378.0843	0	1	NA	30.77245	15	489.9698	0	1	NA	29.85238	22	502.1574	0	1	NA	28.67596	20	584.7794	0	1	NA	56.86169	13	373.0262	0	1	NA	30.71685	16	290.7663	0	1	NA	25.19538	18	491.238	0	1	NA	34.26592	18	473.087	0	1	NA	29.58597	14	615.0134	0	1	NA	39.84953	24	365.3006	0	1	NA	34.87419	14	350.9653	0	1	NA	23.50813	20
"21"	"ILMN_1802203"	"ARF1"	"ARF1"	3382.235	0	1	NA	134.112	26	2985.648	0	1	NA	164.1955	26	3865.896	0	1	NA	234.8735	25	2438.486	0	1	NA	117.1358	23	2510.382	0	1	NA	111.8028	26	2756.907	0	1	NA	127.9038	30	2770.985	0	1	NA	146.2087	27	3424.443	0	1	NA	183.6271	26	1968.638	0	1	NA	89.19192	30	1740.651	0	1	NA	120.8304	19	3703.233	0	1	NA	160.5162	27	3276.136	0	1	NA	147.1459	28	3923.603	0	1	NA	192.4096	29	2322.076	0	1	NA	102.0396	16	2421.723	0	1	NA	113.729	21
"22"	"ILMN_1723884"	"ARF4"	"ARF4"	2718.148	0	1	NA	107.8778	22	2762.871	0	1	NA	118.01	28	3112.302	0	1	NA	195.0223	16	1082.433	0	1	NA	48.80019	23	1325.912	0	1	NA	50.15772	12	2064.532	0	1	NA	114.4719	21	1862.003	0	1	NA	59.36264	27	2275.917	0	1	NA	104.1197	16	852.2256	0	1	NA	38.12028	25	868.0923	0	1	NA	40.8269	26	2034.979	0	1	NA	99.87684	18	1986.652	0	1	NA	78.75333	21	2436.417	0	1	NA	90.5024	33	1011.683	0	1	NA	49.74671	15	1148.209	0	1	NA	57.33543	19
"23"	"ILMN_1719518"	"ARF4"	"ARF4"	10779.96	0	1	NA	665.0452	17	9863.63	0	1	NA	762.7021	18	10143.54	0	1	NA	620.0048	16	3374.902	0	1	NA	139.7151	20	4185.187	0	1	NA	206.7459	25	9741.118	0	1	NA	480.7452	23	7946.872	0	1	NA	375.3021	24	9539.798	0	1	NA	489.0854	16	2429.713	0	1	NA	119.3476	21	3004.229	0	1	NA	107.1165	31	10732.79	0	1	NA	432.0053	24	9573.337	0	1	NA	411.7787	24	10423.23	0	1	NA	696.8603	22	3217.144	0	1	NA	171.7949	22	4056.335	0	1	NA	198.1098	28
"24"	"ILMN_2406873"	"ARFGAP1"	"ARFGAP1"	209.9255	0	1	NA	13.52687	19	182.3114	0	1	NA	9.134131	20	233.5307	0	1	NA	17.11486	26	103.6584	0.03636364	1	NA	5.534441	17	122.5048	0.003896104	1	NA	9.484398	16	144.9606	0	1	NA	10.85664	24	145.6038	0	1	NA	11.07789	24	206.1671	0	1	NA	14.10798	24	109.8681	0	1	NA	12.19821	17	111.0014	0.002597403	1	NA	6.927155	22	213.2226	0	1	NA	23.41274	21	135.6241	0	1	NA	9.138098	23	210.9515	0	1	NA	15.73603	20	98.24778	0	1	NA	9.533984	19	86.01432	0.03506494	1	NA	5.506377	25
"25"	"ILMN_1675709"	"ARFGAP1"	"ARFGAP1"	620.5589	0	1	NA	23.11718	32	555.9603	0	1	NA	24.8278	33	685.4143	0	1	NA	31.07709	31	226.0191	0	1	NA	13.13845	31	309.7343	0	1	NA	17.41822	23	510.7895	0	1	NA	27.88603	20	488.551	0	1	NA	26.32141	23	659.7307	0	1	NA	31.89528	18	227.3441	0	1	NA	9.669408	32	239.0754	0	1	NA	16.46504	20	697.0204	0	1	NA	27.68781	31	518.1838	0	1	NA	23.44328	23	637.4603	0	1	NA	43.49049	23	167.4712	0	1	NA	10.77333	13	234.3253	0	1	NA	14.82047	24
